user_id,event_id,rating
861,event_5391,3
3773,event_5735,2
467,event_4427,3
3445,event_8323,5
770,event_6950,2
1185,event_4556,2
4118,event_6397,4
2905,event_8667,3
2559,event_7850,4
2748,event_9168,3
1900,event_7735,4
1529,event_3557,3
647,event_5394,4
601,event_8434,2
2825,event_7514,5
1364,event_6236,4
1479,event_776,3
3153,event_1586,4
3074,event_1022,2
3844,event_7990,5
4799,event_6874,4
162,event_4298,4
4912,event_7630,4
1017,event_7870,5
338,event_879,5
4888,event_4860,4
380,event_8685,1
2063,event_65,1
2569,event_5464,1
2028,event_2696,3
392,event_5893,2
2279,event_6185,4
201,event_3105,5
2732,event_8155,3
2691,event_3841,5
503,event_6911,3
4489,event_207,2
1485,event_7859,1
564,event_5117,4
1758,event_7575,5
1679,event_3243,5
1060,event_6669,3
3315,event_3158,4
2626,event_9790,1
3061,event_2694,4
3628,event_9556,3
1664,event_9722,4
3303,event_7393,1
1307,event_6777,4
1283,event_7527,3
4745,event_4414,5
4780,event_664,3
3446,event_1496,1
3764,event_5233,1
4660,event_1292,2
1637,event_3697,1
699,event_4738,4
855,event_8165,1
3475,event_5250,5
1708,event_5792,4
3511,event_203,3
4497,event_8959,5
2932,event_7778,3
3583,event_6288,1
3273,event_9340,3
3398,event_2512,5
1795,event_660,4
1370,event_1987,3
3220,event_2912,4
489,event_2977,2
2920,event_4737,3
4062,event_263,4
624,event_9209,4
3644,event_2050,1
3724,event_4549,5
4091,event_7159,1
3171,event_9875,3
4500,event_6296,1
3992,event_1649,4
1446,event_4200,4
254,event_2558,1
99,event_2201,5
2962,event_4974,2
3778,event_2870,3
3792,event_957,1
4068,event_8353,4
4494,event_9493,4
1528,event_6016,3
4497,event_4736,1
2736,event_4556,3
4566,event_3447,5
563,event_5896,3
226,event_4894,1
960,event_5601,5
3068,event_7997,3
4643,event_7680,1
1244,event_2206,5
1070,event_3445,3
1061,event_2328,5
302,event_607,3
700,event_5089,4
191,event_981,1
3328,event_3395,2
1817,event_5855,2
1896,event_2734,2
4015,event_1687,2
155,event_1410,2
785,event_8097,1
4342,event_7344,5
2807,event_538,3
1842,event_8717,4
2951,event_7993,4
4781,event_2369,4
1167,event_5920,3
3737,event_3770,5
1716,event_4778,3
2492,event_3125,4
3052,event_5,4
4870,event_877,4
4143,event_6967,4
4365,event_4466,4
1694,event_9875,1
120,event_831,3
3676,event_5178,2
741,event_8309,1
1932,event_9205,1
1082,event_513,2
560,event_3673,5
4993,event_3344,5
4071,event_9663,5
2295,event_8131,4
4250,event_1680,3
2745,event_9436,5
3119,event_2142,4
4549,event_6618,5
4647,event_9828,1
1758,event_4453,2
2850,event_7391,2
3731,event_2490,1
1016,event_9541,5
4612,event_2840,2
4593,event_9088,3
852,event_1688,4
3747,event_2428,1
4001,event_5053,3
3499,event_5733,4
3914,event_1067,4
4381,event_4108,2
2547,event_8946,3
2775,event_8968,5
1626,event_418,3
617,event_3975,4
826,event_7669,2
1517,event_413,4
729,event_7165,1
676,event_5989,1
2968,event_2787,1
1123,event_4080,4
2144,event_9880,5
3852,event_3441,5
2327,event_2915,1
3953,event_8788,1
1366,event_4493,3
396,event_7401,3
4172,event_4361,4
718,event_2783,4
4947,event_5487,5
3141,event_7267,4
2939,event_5589,4
3637,event_1168,1
1063,event_2157,5
2983,event_6542,2
1157,event_7331,5
4331,event_8011,2
4847,event_6732,1
954,event_2540,1
3325,event_1543,5
1192,event_6314,1
2994,event_6939,2
1218,event_1541,5
3237,event_5542,3
3720,event_9581,1
1366,event_8692,1
511,event_7495,1
1325,event_9348,4
3142,event_7420,3
2924,event_5302,3
714,event_5978,3
4135,event_4269,5
4850,event_9436,2
456,event_9087,1
1959,event_3073,3
1997,event_505,4
3441,event_7577,1
134,event_2106,4
4781,event_6317,5
4911,event_4176,5
4299,event_5349,4
1251,event_6191,1
3377,event_5646,1
1397,event_8054,3
2704,event_8663,1
1354,event_5064,4
668,event_4469,2
4186,event_3720,2
540,event_4965,1
4836,event_3776,3
2509,event_2780,5
2957,event_1582,3
3325,event_5714,3
256,event_4805,1
10,event_2872,2
4973,event_5125,1
4470,event_2194,1
4949,event_7450,1
3926,event_6971,3
4785,event_4001,2
2153,event_7267,1
405,event_8176,4
2001,event_9861,3
1461,event_7191,5
3637,event_4810,2
4179,event_7246,1
2049,event_4781,5
4545,event_4977,2
3420,event_7240,2
250,event_8866,3
3963,event_4364,1
1078,event_8428,5
3038,event_7902,3
1849,event_6545,5
3982,event_4674,3
4531,event_6882,2
1359,event_7003,3
4543,event_1332,1
4262,event_7649,4
4638,event_4855,2
2129,event_2181,5
138,event_6328,1
2833,event_3580,4
3032,event_4165,2
4301,event_6270,3
4139,event_1907,1
3446,event_6032,4
4456,event_9912,1
3267,event_1888,3
667,event_4189,2
4157,event_6778,3
4700,event_4778,5
524,event_2394,2
1969,event_9946,5
2297,event_6191,1
2262,event_6494,3
2879,event_4144,5
4433,event_1277,4
2767,event_303,2
4124,event_8151,2
365,event_6810,3
4979,event_5127,3
1647,event_919,3
1532,event_8173,2
1907,event_3087,1
4581,event_8906,1
1297,event_6230,2
126,event_4633,1
3597,event_6169,4
67,event_233,5
1170,event_6372,2
4719,event_7944,1
2473,event_2740,2
1762,event_877,5
3449,event_9505,5
2710,event_1734,4
3422,event_6987,1
4855,event_8435,5
2596,event_9112,2
468,event_8196,1
2552,event_5561,2
847,event_6317,4
1142,event_8916,1
4628,event_4209,4
4655,event_2049,2
4750,event_9766,5
1918,event_4235,4
2027,event_3745,2
2040,event_10,5
1674,event_2220,2
2061,event_5288,2
1620,event_8513,5
2377,event_2833,1
1995,event_3491,1
1605,event_236,2
4430,event_1909,3
2636,event_8163,3
2561,event_5416,4
3851,event_9065,5
1315,event_4821,5
2899,event_7547,2
2622,event_4228,1
1066,event_2137,2
2344,event_9511,3
4671,event_2191,1
2713,event_2193,1
3055,event_4034,5
3688,event_4019,3
198,event_5766,3
1203,event_8136,2
2036,event_8670,3
420,event_2205,1
1121,event_951,1
2244,event_2646,2
4613,event_1866,1
2854,event_6029,4
3229,event_3720,5
3229,event_2372,4
3757,event_4226,3
95,event_2675,3
1956,event_794,3
2117,event_5780,3
3326,event_6167,2
2350,event_8555,4
2266,event_7784,2
985,event_7791,4
2731,event_3532,4
4452,event_3877,2
3057,event_8796,2
4147,event_7197,1
3798,event_1793,5
3477,event_3418,4
1206,event_3031,1
3073,event_1855,3
2709,event_7113,5
202,event_3508,1
4213,event_7971,4
537,event_1626,3
386,event_8071,2
475,event_8610,3
3601,event_6784,3
955,event_4972,3
1206,event_1991,4
4806,event_3573,1
4381,event_4758,2
2204,event_5589,1
967,event_4945,4
3433,event_689,4
3702,event_8534,4
1725,event_6705,1
1760,event_9182,3
952,event_8915,5
3377,event_4525,5
286,event_7312,3
2066,event_769,3
3058,event_6646,4
2162,event_5798,3
4927,event_6017,5
4151,event_8039,3
4896,event_4874,2
1902,event_6306,4
4065,event_55,4
1824,event_3463,5
3080,event_833,1
2807,event_5955,3
328,event_7222,1
3311,event_3301,3
3676,event_3055,2
2144,event_5208,3
3984,event_4548,4
165,event_6613,2
4426,event_8967,1
2199,event_4243,5
915,event_1309,4
4178,event_8706,1
3595,event_4842,2
4803,event_4567,4
1556,event_805,1
3578,event_1388,1
2762,event_2680,3
4224,event_4832,1
3954,event_3187,1
2574,event_2600,2
237,event_1305,1
1302,event_2542,4
442,event_8997,3
2176,event_5476,1
2082,event_7185,5
4684,event_1623,5
342,event_2075,1
646,event_4264,2
455,event_9901,1
2970,event_3029,4
4798,event_2682,2
3068,event_5942,3
3777,event_2867,5
3364,event_5491,2
4125,event_8341,3
2059,event_7680,4
1137,event_8379,3
1334,event_4151,5
1786,event_7716,4
1763,event_7102,3
4461,event_6123,2
154,event_7618,5
2121,event_2344,1
1241,event_61,3
1640,event_6186,1
4227,event_1253,4
172,event_9651,2
2323,event_9829,4
4091,event_6961,5
330,event_3641,1
4108,event_1342,3
4063,event_2709,1
1751,event_5605,1
3727,event_3994,1
47,event_4874,1
3991,event_5914,5
3158,event_391,5
4233,event_8008,2
827,event_1501,2
3295,event_5086,4
935,event_3043,2
1467,event_3562,1
1183,event_3224,3
2668,event_7981,2
131,event_2984,2
4279,event_7127,4
39,event_7695,1
3588,event_5469,1
2770,event_8685,2
1132,event_8503,3
3242,event_546,3
4855,event_9997,5
3811,event_7207,4
4125,event_2033,5
4414,event_8437,4
4793,event_272,4
1263,event_4362,1
3431,event_4436,5
2625,event_3761,3
3501,event_1166,2
146,event_4389,1
432,event_8897,5
2633,event_4495,1
964,event_1829,5
4069,event_9131,4
4806,event_807,3
1869,event_7879,4
4868,event_5691,4
885,event_3565,2
4322,event_825,2
937,event_6403,5
1797,event_8246,1
3171,event_1914,1
1597,event_7658,3
2738,event_9042,1
3,event_7907,5
893,event_4676,5
3682,event_1291,1
2683,event_9180,5
1219,event_5017,2
1356,event_9753,5
1419,event_955,2
984,event_7292,3
3973,event_5296,2
914,event_8229,4
1712,event_3021,4
4037,event_5069,1
3112,event_9517,5
2163,event_2746,3
1592,event_6184,3
1997,event_1313,3
2384,event_3240,4
1705,event_6925,3
2605,event_9909,2
4452,event_4287,3
2470,event_4796,5
557,event_9018,1
4522,event_7562,3
3509,event_3742,2
2404,event_8781,5
1548,event_295,2
3118,event_9883,1
2065,event_7010,4
4544,event_1008,3
3527,event_5353,2
3903,event_1436,4
2383,event_9438,5
278,event_7060,4
1266,event_7492,3
1041,event_9110,1
886,event_2753,2
3192,event_6354,2
4800,event_687,5
4812,event_8955,3
2429,event_5127,5
907,event_7814,3
2507,event_9646,2
3357,event_8708,1
39,event_3343,5
2205,event_1099,4
1824,event_3156,3
3779,event_2897,4
3512,event_989,5
4965,event_4180,3
4666,event_934,2
1981,event_3057,1
792,event_5391,4
2256,event_3611,4
985,event_5777,5
3381,event_8712,3
3634,event_6343,3
4445,event_960,4
693,event_5656,4
4474,event_2947,4
527,event_3225,1
3966,event_1876,4
521,event_5798,1
117,event_2434,3
3789,event_4168,5
274,event_1390,3
729,event_2044,1
779,event_214,3
1577,event_6732,1
3118,event_5792,4
2721,event_8906,2
2,event_6369,1
4045,event_1950,1
918,event_3175,2
90,event_1710,2
4239,event_3042,2
887,event_8620,1
1896,event_6091,5
635,event_1926,1
3145,event_9632,1
716,event_5384,2
3390,event_9300,3
2431,event_459,4
208,event_900,2
22,event_8602,3
4905,event_7868,2
4110,event_7180,4
2957,event_1561,5
1267,event_3639,4
4781,event_1928,5
3703,event_2357,3
3666,event_7058,3
662,event_4645,1
1083,event_8947,3
4541,event_6237,1
903,event_7006,5
159,event_957,4
4612,event_9580,4
956,event_6296,2
1713,event_4704,1
1274,event_5632,4
2626,event_9634,4
1798,event_1395,2
1270,event_4733,4
3715,event_530,5
2959,event_7905,3
4890,event_3592,4
4574,event_9132,2
375,event_4649,4
4477,event_1647,1
3156,event_8322,1
2939,event_8220,2
1253,event_4357,1
4556,event_7063,3
3082,event_630,2
2892,event_3433,1
2361,event_576,4
1308,event_3193,3
2735,event_6117,4
2213,event_3569,4
2204,event_1391,4
1275,event_957,4
3954,event_969,5
1044,event_282,5
1059,event_4294,5
3829,event_5179,5
1009,event_1230,4
4586,event_8468,5
2290,event_1240,3
126,event_7474,5
1209,event_5343,3
3250,event_9111,4
3924,event_6295,5
4404,event_1970,2
892,event_4471,2
1365,event_8321,5
4613,event_9711,2
2475,event_6090,2
4050,event_7706,1
4684,event_987,1
4910,event_3073,3
3125,event_9520,5
2409,event_8126,4
4034,event_5106,1
3233,event_7849,1
4784,event_6925,1
3829,event_3231,1
1348,event_3174,4
1638,event_4115,2
1001,event_9043,5
3713,event_1368,1
2773,event_3727,1
3148,event_4807,5
3987,event_2876,5
1441,event_8928,1
3339,event_7011,2
962,event_2990,1
1027,event_6229,2
2864,event_1178,1
12,event_5253,2
4400,event_8235,2
2412,event_6571,5
21,event_407,3
1015,event_4432,5
715,event_4147,4
4885,event_141,3
964,event_7152,5
3636,event_3611,5
106,event_5540,2
4098,event_6788,2
3417,event_4446,3
1287,event_7053,1
445,event_6442,4
1476,event_1799,1
1709,event_6285,5
1244,event_3098,1
10,event_5753,5
2632,event_6296,1
3226,event_1317,4
4146,event_6808,3
3684,event_7228,2
146,event_5011,4
3041,event_9655,2
4677,event_9777,3
3180,event_1250,1
631,event_8854,5
2467,event_988,3
650,event_9161,5
441,event_7422,1
770,event_1344,3
4359,event_9770,5
4009,event_6603,4
2350,event_5700,2
1126,event_9383,5
4132,event_7844,3
73,event_5473,3
2473,event_708,5
3714,event_5052,5
2476,event_3611,5
2824,event_7398,2
67,event_7980,5
4154,event_7427,2
2775,event_5292,2
2662,event_9425,3
2402,event_9687,4
662,event_3375,1
4407,event_208,2
2494,event_6814,1
2103,event_3084,1
1932,event_3720,4
2563,event_1680,5
4444,event_6771,5
3944,event_8556,1
286,event_149,4
4038,event_6550,2
4552,event_9959,1
1013,event_9716,2
2557,event_3726,4
4577,event_5783,2
1602,event_2409,5
2818,event_2497,3
4931,event_5300,2
3268,event_4407,3
406,event_4438,4
244,event_4108,1
4138,event_8786,5
1827,event_7630,3
3920,event_7694,1
4495,event_7843,2
4226,event_2979,2
4362,event_5657,2
793,event_4260,1
1134,event_4918,5
2947,event_2531,1
1049,event_5773,5
2530,event_2965,2
964,event_537,4
4224,event_8735,4
3037,event_5948,5
4139,event_4350,2
2711,event_6611,3
1954,event_6489,2
3851,event_690,5
1951,event_5176,1
2131,event_5449,4
4286,event_9075,4
609,event_1639,1
2149,event_1383,4
820,event_3293,4
420,event_4518,2
1509,event_7871,5
2140,event_1550,5
2646,event_3717,2
2294,event_4838,5
901,event_6357,2
242,event_7381,5
2386,event_4269,4
465,event_4593,4
2443,event_4799,5
2356,event_5888,5
2558,event_5828,2
4720,event_594,3
3805,event_9652,5
3494,event_6165,2
2445,event_2673,1
17,event_3192,1
425,event_6273,2
572,event_3632,5
1121,event_7178,2
3898,event_8124,5
715,event_776,3
2248,event_7089,1
3927,event_9048,5
2149,event_9224,5
3272,event_3457,5
